Product A;CODE-7;Sales Price Here;FactoryPrice Here;TAX Rate  Here;Discount Rate Here;Quantity Here;Product Description  Here;Low Stock Alert Here
ENCENSE BURNER PETIT;EMBA1;25;15;;;9;;2
FLACON 100 ML;EMBA2;2;0,505;;;223;;2
Flacon 212 VIP 100ML;EMBA3;10;6;;;11;;2
FLACON 30 ML;EMBA4;1;1;;;287;;2
FLACON 30 ML LUXE;EMBA5;5;2;;;0;;2
FLACON 3ML;EMBA6;;2;;;4;;2
FLACON 50 ML;EMBA7;1;1;;;248;;2
FLACON AQUA DI GIO 30ML;EMBA8;5;2;;;19;;2
FLACON ARMANI CODE 25ML;EMBA9;6;2;;;13;;2
FLACON AZZARO WANTED 100ML;EMBA10;4;2;;;15;;2
FLACON BLACK OPIUM 50ML;EMBA11;6;2;;;11;;2
FLACON BLEU CHANEL 50ML;EMBA12;11;6;;;7;;2
FLACON CHAPEAU 15ML;EMBA13;5,5;2;;;12;;2
FLACON CINEMA 25ML;EMBA14;3;2;;;11;;2
FLACON CK FREE 25ML;EMBA15;5;2;;;14;;2
FLACON DECIBEL 30 ML;EMBA16;5;2;;;13;;2
FLACON DEMI LUNE 30ML;EMBA17;6;2;;;4;;2
FLACON DEXPOSITION;EMBA18;0;0;;;327;;2
FLACON ELIE SAAB 60ML;EMBA19;10;2;;;3;;2
FLACON ELLE 50ML;EMBA20;11;2;;;15;;2
FLACON GOOD GIRL 100L;EMBA21;8;2;;;14;;2
FLACON GOOD GIRL 30ML;EMBA22;8;2;;;0;;2
FLACON GUCCI BLOOM 50ML;EMBA23;11;2;;;12;;2
FLACON INVICTUS 50ML;EMBA24;11;6;;;14;;2
FLACON J ADORE 60 ML;EMBA25;8;6;;;13;;2
FLACON MANCERA 30ML;EMBA26;5;2;;;13;;2
FLACON MANCERA 50ML;EMBA27;6;2;;;10;;2
FLACON MANIFESTO LUXE 30ML;EMBA28;5;2;;;10;;2
FLACON MISS DIOR 50ML;EMBA29;6;6;;;1;;2
FLACON MONT BLANC 30ML;EMBA30;5;2;;;13;;2
FLACON PATCHOULI 30ML;EMBA31;5;2;;;11;;2
FLACON PERLE DORE 50ML;EMBA32;11;2;;;0;;2
FLACON POLO 30ML;EMBA33;5;2;;;14;;2
FLACON SAUVAGE 50ML;EMBA34;11;2;;;14;;2
FLACON SOMBOLA COLORE 6ML;EMBA35;0,5;0,5;;;17;;2
FLACON TESTEUR 50ML;EMBA36;0;0;;;324;;2
FLACON TOM FORD 30ML;EMBA37;8;2;;;2;;2
FLACON TOM FORD 50ML;EMBA38;10;2;;;1;;2
FLACON TOUR EIFFEL 30ML;EMBA39;21;2;;;13;;2
FLACON VALENTINO 30 ML;EMBA40;5;2;;;12;;2
FLACON VERSACE 50 ML;EMBA41;11;6;;;13;;2
FLACON VERSAGE 100ML;EMBA42;6;2;;;12;;2
FLACON VOITURE 12.5 ML;EMBA43;11;2;;;13;;2
INCENSE BABOUCHA;EMBA44;45;20;;;1;;2
INCENSE BLANCHE;EMBA45;45;20;;;1;;2
INCENSE BURNER CARE;EMBA46;35;23;;;4;;2
INCENSE BURNER EN BOIS;EMBA47;25;19;;;0;;2
INCENSE BURNER FOKAR 3 PIECES;EMBA48;50;29;;;2;;2
INCENSE BURNER PLATEAU GAZELLES;EMBA49;50;30;;;4;;2
INCENSE BURNER SILICONE;EMBA50;25;13;;;5;;2
INCENSE FANOUS;EMBA51;45;26;;;4;;2
INCENSE HELAL;EMBA52;35;20;;;0;;2
INCENSE RICHA;EMBA53;45;23;;;2;;2
INCENSE ROND;EMBA54;15;7;;;14;;2
INCENSENCE ARABIC;EMBA55;80;35;;;3;;2
